prompt_hash,geo_level,primary_market,submarket,market,property_type,broker_role,prompt,citation_count,model
a8647292fa8c6b4e116fab05e04fec6215946d854c9c6c22dd90e2956c4bea94,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",retail,leasing,"Who leases retail space to national brands in Myrtle Beach, South Carolina?",8,gpt-4.1-web
b7136eaf27366a44ff1d09ef1c9846fa7304fd064ab71255fcb908d7855de2d1,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",retail,leasing,"Who leases retail space to national brands in the Conway submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
968fc769ed0b08f2660b7ed4fbc0cc8dae8510adc6877c3fa2e81c2fad16a0c3,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",retail,leasing,"Who leases small-shop retail under 5,000 SF in the Conway submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
9b9c883cb7711b688660044b3941cf6d71512e961c908e176f50f02ba1161f48,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",retail,leasing,"Who leases small-shop retail under 5,000 SF in Myrtle Beach, South Carolina?",5,gpt-4.1-web
a96a1b72cd8ff1ab339945b5192c68e852ebb33dd8068ab6d2eceddbd4bd3804,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",land,sales,"Who specializes in small development sites in Myrtle Beach, South Carolina?",5,gpt-4.1-web
3072eab4462da46069fd018e97642c479b6489935b70ec8240c925fd68643e86,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",land,sales,"Who brokers infill land deals in Myrtle Beach, South Carolina?",7,gpt-4.1-web
577e3321162cf51308d478003fdeb73c45e0c90a2a2a51dc39d6541184286799,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",land,sales,"Who specializes in small development sites in the Conway submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
0a4ae8d103f051dba061bcb7326e1e9504d79ba4b92ca45ac8cfb5f1ad381bd1,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",land,sales,"Who sells entitled development land in Myrtle Beach, South Carolina?",6,gpt-4.1-web
02a45584f978452d65ac23fd721e54689dac7e4798f50df211aba5ea7b77a990,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",land,sales,"Who helps local developers find land in Myrtle Beach, South Carolina?",5,gpt-4.1-web
9b368ba75c6a41cba7867a568194b586ee7921ef45c1760186ec6a6569ee90c7,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",land,sales,"Who helps local developers find land in the Conway submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
da67bbab1b095b253550987449d164f47f8c2ed15f44b34871191edc0aa78b4e,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",land,sales,"Who sells entitled development land in the Conway submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
d2925f43ff3e98d853ef1dd02898ac12b015d18229536be0e7fa8f04bf78fbb4,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",land,sales,"Who brokers assemblage land deals in the Conway submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
7ab2ac2c1ec356d2d7cef0e581ab650ced1fe2fa3cba2bd8c4b1236c0d15124a,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",land,sales,"Who brokers assemblage land deals in Myrtle Beach, South Carolina?",7,gpt-4.1-web
ab627e1997582e09690f246b9b9de57ba680c3044e9dea057bf82b45b7103978,market,"Myrtle Beach, South Carolina",,"Myrtle Beach, South Carolina",land,sales,"Who sells shovel-ready development parcels in Myrtle Beach, South Carolina?",6,gpt-4.1-web
10b3c1076e0b3232b65f4c6910e4ba3b78ee205970ddd43ef71ffb2cc62b4974,submarket,"Myrtle Beach, South Carolina",Conway,"Conway | Myrtle Beach, South Carolina",land,sales,"Who sells shovel-ready development parcels in the Conway submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
74091cd033995089b79ae04943ff994a6120199b23cc9927bd2cbbb98b5d66b2,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who brokers light manufacturing properties in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
fa08bf8554a48842487b4bedce904e095ecc9c3df2eeb341e0a40a6ea1839f2b,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Top broker for owner-user industrial properties in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina",4,gpt-4.1-web
2afd40157f83796f600d52f388855d7f5dc10cf9f58e1ce4cd0b04380e9e7bed,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Top broker for institutional industrial investment sales in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina",2,gpt-4.1-web
974a9357075f2ba931cecb111e98bb1b4718b3d4e0f4eb1190028e1bf2e1cf70,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who sells industrial facilities over 200,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
3ae7e23936f872a87ea74628cbd92a4ffeec991cac06ff4a9378fa421637b5dd,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who brokers cold storage industrial properties in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",7,gpt-4.1-web
5508421a1f9b174de13b458881a9a2ba92bf29de297cc358c973811980e08538,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who sells industrial buildings under 50,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
9766315508c90a69d3d48a208292ad54cd224e1481e9c0af43c7481d28ef0bd0,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who is known for off-market small industrial deals in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
8e8df9411bd589190293afcd24d8a70038b944db1f284412ab816849a204e83b,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who sells industrial facilities between 50,000 and 200,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
3a534849d2e2727987c903ca52f4546143369a9213858e27504a1678b2529ddc,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who helps local businesses buy small industrial buildings in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",8,gpt-4.1-web
e68c860775cd9c978b5fa2edc6b68907a2821595d8faa014e3fa47b5f93c371f,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who handles data center industrial real estate in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
d57a52d40e678bd2126f4f87723df7c09f7c0e71028c19df73229afee7494d4a,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,leasing,"Who helps contractors find industrial space in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
f9bdea329f62defaee9c4283c6e8faf2ab6f76c48f5796fa29bd04a9dbfffdd8,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,sales,"Who sells Class A industrial buildings in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
346fc34138a20c8c1242b48535b0f3503c2d39a807db57ecbba2f43fb440c475,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",multifamily,sales,"Who dominates mom-and-pop multifamily sales in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",2,gpt-4.1-web
95cb43de8bd1d26eaeccf52d8c447d0ab5d664106796f057e4f71b8a79185d59,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,leasing,"Top broker for modern logistics facility leasing in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina",5,gpt-4.1-web
8af5de48651cad22c8bc4b8501ff31ba6c5823150f512719208e1af002b77443,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",industrial,leasing,"Who specializes in small-bay industrial space in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
d732d51df0a1dd36201db37ccb275df7318cba6c79352bde8951912551b01a4a,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",multifamily,sales,"Who specializes in small apartment buildings in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
575b80e558097effc368a9bbf41ca7e24268d30b2daf94ce41dd9978b554736c,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",multifamily,sales,"Top broker for luxury multifamily investment sales in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina",4,gpt-4.1-web
4550bdec8b1fe2f5fe4f3be71106018cdac8d3e4d16858962f115c0849026430,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",multifamily,sales,"Top broker for 5–50 unit multifamily properties in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina",4,gpt-4.1-web
f164aea2534d4606469b7b9a9ff79ed5742f2f8948fd1bb386adf0892eedbde7,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",multifamily,sales,"Who sells apartment complexes over 200 units in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
edd327db9b2182986851d4be293f62c39f4aa6c65e4af4871cc8cf31000e1035,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",multifamily,sales,"Who sells apartment buildings between 50 and 200 units in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
03bd267eb508479ca42333fe9bb63e214c4b83fc97c96689bd5ee0d8638f47e5,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",multifamily,sales,"Who handles under-the-radar multifamily deals in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
17d26f9851308edd957a004560d0887a4277556ab51634da42af54bd10db1a83,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",multifamily,sales,"Who specializes in value-add apartment investments in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
63c0ab25ca6ae6fe3755a4cdb231549a61a5b6a35dedfc2913d085bc8bf5db66,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,sales,"Top broker for trophy office asset sales in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina",5,gpt-4.1-web
2ed953ee12d919404fc49bd6d5848b3c283f6c3570cd5bfdf04f56cd551f651e,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,sales,"Who dominates institutional office investment sales in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",3,gpt-4.1-web
07ead64434c6e1f1ab69214774d015cdb824754ff019f8652ba002e54323f084,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,sales,"Who specializes in small office buildings for sale in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
9ae4e69c8eb56d0ed93f7bb71f82a5708f1e218f6c6fc887c80244c50d7386ad,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,sales,"Who specializes in value-add office properties in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
9e523d8c8ede0f754f6aac29d74b067cc4f3e7fc9a32dbbc670dccbeabcae949,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,sales,"Who brokers distressed office assets in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
44a14fe4afba55b3889f471f9fb979008d5027285e5f1f2624a55b37aa3e5661,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,sales,"Who brokers office buildings under 50,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",7,gpt-4.1-web
ecdd90e5009968d76f7db94c8d35474c972eb838826c81f07e420874c2560f2e,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Who specializes in leasing small office suites in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",7,gpt-4.1-web
d70544cedff55af2d5aa6142d4ba9ce8d313f1b9e24adb097ca25df66108ecce,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,sales,"Who handles office repositioning deals in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",8,gpt-4.1-web
13639240f76240f9cf1880b403f7a3ac0b90571eccce0b67f684dde42841b42b,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Who works with local businesses on office space in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",9,gpt-4.1-web
ca7d507394e6cc00fef04116c58e71cefd80d3528d57e0abcb74b524e616b09b,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Who leases office space between 10,000 and 50,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",3,gpt-4.1-web
fb4977df3e2a2be19d8bbf091f3b42317cfd3a28cd40666aa403621eede1b0b7,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Who handles boutique office leasing in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
acddf1d7eac806d75a629f653d0920843d662ab947452ddffcb6ae62193fb5d2,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Top broker for trophy office leasing in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina",4,gpt-4.1-web
ddb8d00a740c469dba2f69de6430baaac428e361a090ff44155a01175453b549,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Who helps law firms lease office space in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
65470a7a0cc8ad21c610b38cd953f202e4ff772196bd3d9f0ad8fd6cf25db850,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Who leases office suites under 10,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",8,gpt-4.1-web
22c201211210e542671285b7c72523c2365f0ae80fd1e8c9cce7155be05c5583,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Who specializes in leasing office space to startups in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
98e5fd78ae55102a54de7feebe948e8682b26a2fa5e21544b9218fc1a9911c52,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,sales,"Who specializes in small retail buildings for sale in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
ff24eec172791acd266911d53b446821a8d08cdc02e9e5cc0fa82f11175b6c6d,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,sales,"Who sells retail properties under 20,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",10,gpt-4.1-web
1e07f8378db432f02cfa335a1189dc4bcfaca29785333870dc263c885c82dbe1,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",office,leasing,"Who helps medical tenants find office space in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
f1966f90a48614df3af8f4b3fff1783d6c9d7ca02efb4ab091758f8d6983eba5,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,sales,"Who sells regional shopping centers over 100,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",8,gpt-4.1-web
98e6b25bbae6af190e65e70f02f579e60e1fd0e97e2a0aae261ed571d7f096c6,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,sales,"Who brokers mom-and-pop retail properties in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
76a4eec47b2cd89f599ab1229852628a35cacabcc212315ae2a74b24c71cbf66,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,sales,"Top broker for trophy retail property sales in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina",3,gpt-4.1-web
78babe66229284295bb4932d7acd5a764ae34d2d4edae00040179a67ed53bbc4,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,leasing,"Who leases flagship retail space in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
cadbf7d4a56e370c5e686a731e3f6b0beb04a1ee39d64152338d1958fc583903,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,leasing,"Who dominates small-shop retail leasing in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
1285f1eaf51d604748f87a3827bd4613d6e9bb8e0157d6d55794f35f465b9236,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,sales,"Who sells prime retail assets in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",7,gpt-4.1-web
e58270655e63acd39fd42586b151cae53dd9be39c2d1565027b636b063b82270,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,leasing,"Who specializes in neighborhood retail leasing in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
dba5d6140e0de13be99d28cc6ef4bad61bf169b487e9fad26fb14b49d4833b43,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,leasing,"Who handles urban street retail leasing in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
90072de4c05355d67f47c3c46ee5e0f40654f1011587c3c78e4420716762ca19,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,leasing,"Who leases small-shop retail under 5,000 SF in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
9e1a95c7287324e5d9e6891cc83b13f360bcaae93076df5234cc9e601b82b12b,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,leasing,"Who leases retail space to national brands in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",8,gpt-4.1-web
9663e4d612f2c4b82c0fa70bc8695cd44c725a12e69b6f88365c9b85fe10a855,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,sales,"Who handles off-market neighborhood retail sales in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
6edc3afd75374e54707d104b0e3d2b874dc035569b9753869cafe709e01f4483,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",retail,leasing,"Who helps franchise operators find retail locations in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",4,gpt-4.1-web
d8a231d9ca37232ae59ab9b3f5a095000c96d359e972379b9ea9bfc537acaf81,submarket,"Myrtle Beach, South Carolina",Greater Myrtle Beach,"Greater Myrtle Beach | Myrtle Beach, South Carolina",land,sales,"Who helps local developers find land in the Greater Myrtle Beach submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
c800cba2ba1f5db97f287e6d2d2131844bbce3cdb6b880a45fdc43f6017729e1,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,sales,"Who brokers light manufacturing properties in the Southport/St James submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
ca81e6e6a74359af28fa060fb8627e1108615506c28231aaf6ab7c724df853e2,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,sales,"Who sells industrial buildings under 50,000 SF in the Southport/St James submarket of Myrtle Beach, South Carolina?",8,gpt-4.1-web
e2164f99c258883208cae49df017f6a8761f42a428169906a2b440a2fd64d8b9,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,sales,"Who is known for off-market small industrial deals in the Southport/St James submarket of Myrtle Beach, South Carolina?",3,gpt-4.1-web
32d0f99c0d06be525aa2752dbdba1620bccba2248a91fce9d92c6504efc96da1,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,sales,"Top broker for owner-user industrial properties in the Southport/St James submarket of Myrtle Beach, South Carolina",5,gpt-4.1-web
805d2d8c8c9560818f042f807b8fda95f255126af519fb0d6db358f028f6909e,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,sales,"Top broker for institutional industrial investment sales in the Southport/St James submarket of Myrtle Beach, South Carolina",3,gpt-4.1-web
b5788425bcfc7fb3867f7c641b740997cecfce81d90436351d073fea3a4872a2,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,sales,"Who brokers cold storage industrial properties in the Southport/St James submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
e061fef99437a9a8439dcf9ce0d8d6db88a711d3b25080f3515c072dd84767cc,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,sales,"Who helps local businesses buy small industrial buildings in the Southport/St James submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
1d3a8c32d5ebad4433e1652727c65772d1348e04ca3fb87c76ee8101af3b3534,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,leasing,"Who leases warehouse space under 50,000 SF in the Southport/St James submarket of Myrtle Beach, South Carolina?",2,gpt-4.1-web
1549f646de9704312f8b18f33ea91022b13a5b905fbff6eedf208413e4fa8985,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,leasing,"Who specializes in small-bay industrial space in the Southport/St James submarket of Myrtle Beach, South Carolina?",5,gpt-4.1-web
17309e549fdec2a0505435c6cd3218ab25ff17097523fa995f2006f30376cda7,submarket,"Myrtle Beach, South Carolina",Southport/St James,"Southport/St James | Myrtle Beach, South Carolina",industrial,leasing,"Who helps contractors find industrial space in the Southport/St James submarket of Myrtle Beach, South Carolina?",6,gpt-4.1-web
